MovieID,CustomerID,Rating
1110,313156,4
1110,1415977,4
571,2458006,5
3756,1729454,2
1220,2622045,3
1145,302269,1
3624,1818277,3
1905,2633733,5
3860,599301,5
3106,1180153,4
1905,2513157,4
758,733811,5
1865,1463939,2
886,78214,4
3925,2024797,4
4306,1772511,5
1220,2203918,3
2452,1381228,3
313,280443,5
3860,1513680,2
2372,1477228,4
3925,117366,3
3860,243994,4
1220,1542075,4
4432,1652683,3
1905,1647735,5
4356,1478543,4
1542,2361778,1
1307,1093615,2
3151,2458544,5
1905,2634129,4
2782,2026740,5
3624,1330808,4
2152,19751,4
1428,1778817,4
3106,266678,4
2152,1146126,4
886,932158,5
2122,2046319,5
3925,2372021,3
1145,484044,4
3151,2312518,4
457,2617143,5
4306,615587,5
2913,2462433,4
1962,921166,5
2452,2430230,4
457,1576186,3
2391,401582,4
191,679429,5
1865,1232877,1
1428,2510557,4
191,1767867,5
3938,1737408,2
1905,113166,4
313,1241161,4
3427,2588704,3
886,1587619,4
1542,1248317,4
3756,2513294,5
313,1359953,3
1307,1854789,3
4306,1504203,5
2122,757871,4
3962,1085676,5
1145,460980,5
313,1743145,5
3825,450247,3
3151,2371764,4
1470,145155,4
1180,2236522,4
2862,1732315,4
1962,2517683,4
886,2363294,4
2152,863191,4
1110,2045614,3
1220,1240040,3
2452,2134019,5
1798,1041349,4
2152,2458415,4
3825,48887,4
1905,1000634,4
1180,1795463,4
1962,1574815,5
313,99889,2
4472,732079,2
4356,377971,4
1428,1501652,3
3925,950590,4
3151,1294099,3
1470,2522284,3
191,53919,5
3860,2509283,3
1542,1762789,4
1180,1022046,3
30,1020115,1
1905,1582843,5
3938,1256383,5
2152,1546839,3
3624,92563,5
3756,116457,1
3825,900481,3
2122,1500577,5
2452,1239113,5
3106,2254185,4
1180,1918808,2
571,892461,5
2391,1564385,4
2913,2151566,5
758,1661347,3
3962,1665484,3
3938,1283236,3
2391,1059784,5
1542,2077527,3
3756,702741,3
1307,1826993,1
571,1681800,4
1470,2457686,4
3427,2435640,5
4123,2371038,2
2372,396050,2
4356,2129219,5
3825,2529187,4
3938,791854,5
3860,406981,3
1220,324856,2
3282,1488460,4
2152,1171892,3
3427,2173785,4
3962,725721,3
3106,676350,4
1798,665357,5
2372,2593093,4
2782,2463242,3
2122,2296112,1
1798,2071873,3
3106,1064524,5
3860,2520759,5
191,1744733,5
4472,2374631,3
4306,2456279,4
2372,926659,3
1542,603333,4
2782,1557620,5
571,995677,5
1905,6990,4
313,446752,4
2391,2296761,3
1962,214932,4
2372,2417320,3
3938,52482,5
3938,215738,4
2122,2160306,3
758,1996268,2
1470,2122838,4
2862,875273,5
2452,1159059,4
1962,1670302,5
2152,1539878,4
3427,1126415,3
1307,2623609,4
3427,292898,4
191,752660,2
3106,1491635,1
3962,356788,5
3860,2082617,3
886,2642260,5
1470,2187711,4
1220,2547700,4
2782,1628283,4
2913,1595216,5
1905,1751371,5
3756,2167552,2
3427,1375357,3
607,68870,3
4356,2417170,4
1542,1778238,5
3925,2502944,5
3860,1892834,3
1798,408094,3
4356,872758,2
30,1891708,4
3624,165586,4
1220,2142262,4
2862,2484405,4
3624,2258286,5
2122,1188676,5
457,1717401,5
607,385653,3
1962,827478,3
3756,1739083,4
1865,2014210,3
4123,189887,5
2372,1796166,5
313,2415571,2
457,533955,1
3860,1708221,3
2452,1677562,5
4432,1917470,3
1110,1822377,4
607,997871,4
758,2280981,1
2452,968843,4
4123,1284712,4
2782,1577907,5
2913,2212256,4
3151,490238,3
2372,1797420,4
758,1752463,4
4356,1089899,4
3938,1257447,2
3825,749532,3
4306,1780414,3
2782,1002412,4
3938,321108,4
2913,970174,4
3925,109377,4
4472,1921398,5
1180,782690,3
1798,1929292,4
1798,356495,5
3860,545568,2
3860,2031116,4
1428,1266017,3
30,432794,2
571,1756192,5
4432,1222663,2
4306,1190747,3
3860,567932,4
607,859826,5
2862,1193385,4
571,1309401,5
1905,100708,5
2152,167522,4
758,567213,3
313,1767388,3
3860,2594928,3
457,833381,2
1110,327348,3
4123,1218099,3
3106,894303,3
1905,2312887,2
3825,2054602,4
1905,2424483,4
457,1251402,5
30,119192,4
1145,1936365,4
1905,1351082,5
2152,351213,2
2152,643657,3
313,1077156,3
3106,692018,3
2862,932064,5
3825,1216954,3
886,1389857,5
4472,1167996,5
2452,2438778,5
457,1037857,3
1428,2161880,4
2913,1905780,5
1962,1854193,3
1470,2072711,4
1428,2006001,2
2452,507082,5
2152,427115,4
4356,2247591,5
3624,2438862,4
3917,104462,4
2152,1466450,4
3106,2188441,4
3427,1400009,3
3938,666763,5
2152,655111,3
1905,529079,4
3427,1469890,3
1962,1172882,4
4123,502547,5
1110,1397784,5
1220,1042292,5
1962,183385,3
191,2360601,4
4472,1941240,4
1145,1804201,2
3427,1144540,5
3756,2043217,1
3860,568531,2
1905,444324,4
191,2023428,5
2391,2402139,2
2152,270035,2
4306,476470,5
3106,1301558,2
3860,1181655,4
3938,73364,5
3917,2515812,5
4123,691878,3
758,319250,2
3925,439970,3
3938,455231,5
1798,690339,4
1905,1450364,4
1962,1488959,3
2391,2247736,4
1905,2383077,5
457,1492478,3
4306,319235,5
1428,1917564,5
886,994534,1
313,1529010,4
313,172249,3
4123,451442,2
4306,121465,4
3427,1505704,3
1962,511813,4
3860,1134129,4
313,87681,4
2122,447337,5
1962,642041,3
313,1041669,5
1962,1524966,5
3860,2464285,5
3427,1577838,4
1962,1026070,3
3282,997358,4
3106,488811,3
191,2580821,4
1905,2075729,4
1428,608888,4
1865,599094,5
1307,731973,3
3938,2602117,4
607,801761,3
3427,44273,4
3925,1833903,3
1145,989872,3
3860,1020562,4
2152,2302071,2
3106,1827328,5
1220,2452531,4
3938,602084,5
3917,290949,2
2391,1964597,3
1962,290215,4
758,801062,5
1865,1136593,5
3962,920483,5
3427,982951,3
3938,2387717,3
3756,178791,3
4472,793875,5
571,544011,2
1220,618895,5
3282,1632522,3
4356,514312,4
3624,2337795,5
2862,2521679,4
1905,51552,5
4356,2329552,2
3938,866627,4
1220,2203889,5
1110,1184074,3
3917,1317345,1
758,2331222,5
1220,573644,5
1962,166890,5
4356,676474,5
457,2098301,5
4123,2593651,4
3427,323450,2
1110,1889702,5
3938,728013,3
4306,266946,4
2913,1403789,5
1180,875971,4
4306,2418015,3
3151,620487,5
4306,2364616,3
1542,1203374,5
457,1564477,5
1145,299601,3
2122,1052845,2
3624,1495096,4
1905,2262320,5
3106,218876,4
30,2332235,5
3106,1231421,5
4123,2237254,5
3151,1652427,2
1220,2459223,5
191,1689013,4
571,2572489,5
1180,1899162,5
607,587133,2
2862,824184,5
1905,1887662,4
3938,438648,2
3962,1914205,5
1220,381740,3
2152,2431715,4
2391,141446,1
1307,773543,2
2372,294465,4
191,2407802,4
4356,1672014,4
3624,383548,1
3938,157799,3
2913,1360952,5
457,2202100,5
313,927696,5
3106,781899,4
3151,108236,4
3962,1882310,5
457,1007764,5
1110,838504,5
313,2531427,3
2152,112275,3
1110,1919258,3
3925,289278,4
1307,2348155,4
1865,2235104,5
3938,1267565,5
1962,1621175,4
2452,891591,5
3106,911777,5
571,957903,2
3925,688972,5
3106,1163445,5
3938,688841,5
191,1930564,5
4123,1832616,5
1220,491317,4
3106,827380,4
2452,1786788,5
4432,2518858,5
1428,518098,5
3925,261717,4
1145,1544385,3
2152,220898,3
2122,378230,5
758,2275581,3
1542,2085183,3
2122,2210209,4
1905,2096142,4
758,1806407,4
886,2170803,3
2152,1903678,4
191,1120064,2
4306,94503,5
4432,1400183,5
3860,1594028,4
4356,496737,3
3938,1753146,5
1307,2307013,1
191,2168506,4
3106,61308,4
1220,1532296,4
30,2060674,4
3624,1308212,5
2152,1420786,4
3756,313087,3
4356,2402111,2
1145,2600671,4
4356,2629105,4
3938,173344,4
30,171000,4
2152,2213123,4
3938,2310457,5
3917,1523870,2
457,1236413,5
2372,1631524,5
2862,1629176,4
3825,778730,3
1905,2254863,3
2862,2639787,5
1307,1728535,2
571,259360,5
1428,626196,5
2782,2557650,5
3427,195105,4
3860,636608,4
1962,1052323,4
30,921239,5
4356,1013704,3
30,552222,3
2152,2256878,4
313,211123,2
3962,1467973,4
2122,1275794,4
1220,100495,4
1307,192727,3
1428,1624976,4
4306,194937,5
2782,534141,4
4472,2133898,2
1145,1984973,1
1905,1716980,4
2452,792200,5
3756,2617727,3
1180,427511,5
607,1445965,3
4123,1091065,3
1110,453212,4
1798,1256151,3
2152,1913156,4
607,221558,4
3962,2149796,4
313,2353853,2
1865,2498504,2
1905,2112383,4
1220,1598023,4
3962,1431954,4
4472,937700,4
758,1586525,2
1145,2282768,4
1428,1784983,5
3427,1140532,2
3106,138549,3
1798,2500833,2
1962,852568,5
3962,1062976,5
3825,1675903,3
3282,633471,5
2452,2288715,4
1962,910048,5
3282,2080042,4
571,331338,5
30,1855928,4
1865,2410790,3
1307,1254354,3
2122,1690449,5
3756,928781,5
1470,914045,4
30,1983281,4
1962,1416268,3
2122,192947,4
4356,2418913,5
1962,1907622,3
2152,746721,4
4306,19006,5
2782,1784858,5
1905,109389,3
3825,2127126,4
457,504282,5
4123,150797,5
2452,934766,5
571,324154,3
2452,2185534,5
2372,2041796,4
4472,1514921,3
1428,2641559,5
2913,588289,4
3282,1747338,4
30,1985654,5
1180,2486599,5
4356,124512,5
1110,673040,5
1798,2290862,2
4472,1001963,3
4306,2366187,4
3917,1452969,1
1110,1542885,3
3962,864068,4
1220,175371,4
4123,993556,3
3860,1743212,3
3860,1337561,1
1865,2421361,4
607,2055075,2
313,1627590,5
4356,1102452,4
1798,1460171,4
3756,838856,4
3925,949874,2
4306,2035049,4
3860,2123352,3
2862,1331757,3
2391,2268317,1
3860,2306203,3
1905,2071210,4
3925,543612,3
2452,1847752,5
1470,1437867,3
2391,1473956,4
4432,751204,3
457,1627650,5
571,1462869,5
2782,1588345,3
1145,1621774,2
4306,1344510,5
4123,1532268,3
1905,2437462,5
1905,1821395,2
457,581648,5
3917,2629761,5
3624,450020,1
3106,503447,3
2452,2291142,3
1905,926110,4
758,1720726,5
2122,2291709,3
1542,360421,5
1145,941767,1
30,2300923,5
1542,2221425,5
1470,833773,2
313,1173509,3
1110,210067,3
4472,511883,4
3917,2564111,3
4306,2162429,5
1905,625777,5
758,196889,3
3624,83256,5
2391,2255747,4
1905,1448759,4
4472,1681954,5
1180,1716789,4
4432,717570,4
2391,1214626,4
2782,954373,5
3962,2402990,4
313,1452671,3
2862,894542,5
758,296040,3
3756,764482,3
1542,1595451,5
1307,1287067,2
3106,1668621,4
3860,1980208,4
2782,550374,5
3825,2210163,5
1145,486808,1
4432,1163765,3
3860,2437192,5
3825,2073718,3
30,510262,4
2372,519108,3
2913,444053,4
2391,206583,4
4306,1038880,5
1470,1224344,4
2913,2396967,5
3925,324358,4
3938,2485958,5
2122,2203885,5
3938,968454,2
313,2646294,5
2452,1115776,5
3938,2035859,5
3938,1718762,3
2452,2453263,4
3756,2155755,5
